[2025-07-04 12:25:44] local.INFO: Query: select * from `packages` | Time: 33.72ms  
[2025-07-04 12:25:44] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 33.9ms  
[2025-07-04 12:25:44] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.02ms  
[2025-07-04 12:27:44] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 36.38ms  
[2025-07-04 12:27:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'active' | Time: 34.35ms  
[2025-07-04 12:27:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'pending_payment' | Time: 47.38ms  
[2025-07-04 12:27:44] local.INFO: Query: select count(*) as aggregate from `packages` where `status` = 'expired' | Time: 39.25ms  
[2025-07-04 12:27:44] local.INFO: Query: select sum(price) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `status` = 'active' and `created_at` >= '2025-01-04 12:27:43' group by `month` order by `month` asc | Time: 35.65ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `packages` order by `created_at` desc limit 100 | Time: 38.39ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 35.34ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 36.53ms  
[2025-07-04 12:27:44] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 28.32ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 31.37ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 43.61ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.73ms  
[2025-07-04 12:27:44] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 28.53ms  
[2025-07-04 12:27:45] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 30.55ms  
[2025-07-04 12:27:45] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 30.96ms  
[2025-07-04 12:27:45] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `packages` where `created_at` >= '2024-07-04 12:27:45' group by `month` order by `month` asc | Time: 30.19ms  
[2025-07-04 12:27:45] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'packages', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:27:45', '2025-07-04 12:27:45') | Time: 34.86ms  
[2025-07-04 12:27:45] local.INFO: Query: select `customers`.*, (select count(*) from `packages` where `customers`.`id` = `packages`.`customer_id`) as `packages_count`, (select sum(`packages`.`price`) from `packages` where `customers`.`id` = `packages`.`customer_id`) as `packages_sum_price` from `customers` order by `packages_count` desc limit 10 | Time: 33.12ms  
[2025-07-04 12:27:45] local.INFO: Query: select count(*) as total, DATE_FORMAT(created_at, '%Y-%m') as month from `customers` where `created_at` >= '2024-07-04 12:27:45' group by `month` order by `month` asc | Time: 31.51ms  
[2025-07-04 12:27:45] local.INFO: Query: insert into `audit_logs` (`user_id`, `action`, `module`, `old_values`, `new_values`, `filters`, `ip_address`, `user_agent`, `updated_at`, `created_at`) values (1, 'view', 'customers', '', '', '[]', '127.0.0.1', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36', '2025-07-04 12:27:45', '2025-07-04 12:27:45') | Time: 34.25ms  
[2025-07-04 12:28:27] local.INFO: Query: select * from `packages` | Time: 28.75ms  
[2025-07-04 12:28:27] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 28.64ms  
[2025-07-04 12:28:27] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 28.42ms  
[2025-07-04 12:35:18] local.INFO: Query: select count(*) as aggregate from `packages` | Time: 34.13ms  
[2025-07-04 12:35:18] local.INFO: Query: select * from `packages` order by `updated_at` desc limit 100 offset 0 | Time: 42.8ms  
[2025-07-04 12:35:18] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 35.59ms  
[2025-07-04 12:35:18] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 52.19ms  
[2025-07-04 12:35:18] local.INFO: Query: select * from `service_packages` where `is_active` = '1' | Time: 32.94ms  
[2025-07-04 12:35:20] local.INFO: Query: select * from `packages` | Time: 30.8ms  
[2025-07-04 12:35:20] local.INFO: Query: select * from `customers` where `customers`.`id` in (1, 5, 6, 7, 8, 9, 10, 11, 12, 13) | Time: 32.28ms  
[2025-07-04 12:35:20] local.INFO: Query: select * from `service_packages` where `service_packages`.`id` in (1) | Time: 33.34ms  
[2025-07-04 12:36:29] local.INFO: Query: select `status`, count(*) as total from `packages` group by `status` | Time: 28.98ms  
[2025-07-04 12:36:29] local.INFO: Query: select `service_packages`.*, (select count(*) from `packages` where `service_packages`.`id` = `packages`.`service_package_id`) as `packages_count` from `service_packages` order by `packages_count` desc | Time: 30.98ms  
